timestamp,cpu_usage,memory_usage,network_traffic,active_users,current_servers,required_servers
2026-07-01 00:00:00,57,54,320,219,3,3
2026-07-01 01:00:00,71,62,356,244,4,4
2026-07-01 02:00:00,59,51,365,243,4,4
2026-07-01 03:00:00,53,61,317,252,4,4
2026-07-01 04:00:00,59,75,340,234,3,3
2026-07-01 05:00:00,46,49,253,176,3,3
2026-07-01 06:00:00,55,40,203,128,3,3
2026-07-01 07:00:00,39,40,128,106,3,2
2026-07-01 08:00:00,32,35,168,80,3,2
2026-07-01 09:00:00,21,34,189,94,2,2
2026-07-01 10:00:00,29,48,242,142,2,2
2026-07-01 11:00:00,58,50,267,188,3,3
2026-07-01 12:00:00,66,58,300,217,3,3
2026-07-01 13:00:00,59,66,383,257,4,4
2026-07-01 14:00:00,60,74,364,255,4,4
2026-07-01 15:00:00,65,73,390,290,4,4
2026-07-01 16:00:00,41,56,268,213,3,3
2026-07-01 17:00:00,53,45,233,163,3,3
2026-07-01 18:00:00,47,54,235,151,2,2
2026-07-01 19:00:00,41,37,139,105,2,2
2026-07-01 20:00:00,59,32,248,104,3,3
2026-07-01 21:00:00,40,34,147,93,2,2
2026-07-01 22:00:00,46,35,156,106,2,2
2026-07-01 23:00:00,61,54,287,191,3,3
2026-07-02 00:00:00,55,60,352,211,3,3
2026-07-02 01:00:00,53,68,355,269,3,4
2026-07-02 02:00:00,62,67,367,260,4,4
2026-07-02 03:00:00,68,74,348,247,4,4
2026-07-02 04:00:00,63,62,312,206,4,3
2026-07-02 05:00:00,45,52,185,164,3,3
2026-07-02 06:00:00,51,47,186,144,3,3
2026-07-02 07:00:00,39,37,172,94,2,2
2026-07-02 08:00:00,39,35,148,100,2,2
2026-07-02 09:00:00,43,46,190,122,2,2
2026-07-02 10:00:00,53,49,222,147,3,3
2026-07-02 11:00:00,33,51,246,172,3,3
2026-07-02 12:00:00,47,52,323,205,3,3
2026-07-02 13:00:00,89,68,311,249,4,4
2026-07-02 14:00:00,68,55,327,249,4,4
2026-07-02 15:00:00,76,67,322,260,4,4
2026-07-02 16:00:00,90,61,348,234,4,4
2026-07-02 17:00:00,50,51,287,182,3,3
2026-07-02 18:00:00,42,49,202,153,2,2
2026-07-02 19:00:00,40,41,164,112,2,2
2026-07-02 20:00:00,38,46,214,115,2,2
2026-07-02 21:00:00,25,37,163,89,2,2
2026-07-02 22:00:00,49,47,242,137,2,2
2026-07-02 23:00:00,58,48,239,189,3,3
2026-07-03 00:00:00,73,59,310,214,3,3
2026-07-03 01:00:00,48,62,363,245,4,4
2026-07-03 02:00:00,68,63,316,249,4,4
2026-07-03 03:00:00,63,61,311,228,3,3
2026-07-03 04:00:00,58,72,316,236,3,3
2026-07-03 05:00:00,42,49,287,151,2,2
2026-07-03 06:00:00,55,43,185,125,3,3
2026-07-03 07:00:00,32,41,183,99,2,2
2026-07-03 08:00:00,16,35,173,92,2,2
2026-07-03 09:00:00,47,51,242,157,2,2
2026-07-03 10:00:00,50,43,241,155,2,2
2026-07-03 11:00:00,55,55,294,182,3,3
2026-07-03 12:00:00,48,54,289,202,3,3
2026-07-03 13:00:00,67,67,284,216,3,3
2026-07-03 14:00:00,54,57,360,231,3,3
2026-07-03 15:00:00,63,73,298,246,4,4
2026-07-03 16:00:00,66,65,295,236,4,3
2026-07-03 17:00:00,58,58,283,177,3,3
2026-07-03 18:00:00,29,31,201,128,3,2
2026-07-03 19:00:00,32,40,168,101,2,2
2026-07-03 20:00:00,50,43,218,96,2,2
2026-07-03 21:00:00,37,48,184,104,2,2
2026-07-03 22:00:00,43,38,206,138,2,2
2026-07-03 23:00:00,50,46,277,188,3,3
2026-07-04 00:00:00,45,47,216,143,2,2
2026-07-04 01:00:00,46,29,181,117,2,2
2026-07-04 02:00:00,48,36,200,134,2,2
2026-07-04 03:00:00,32,53,261,165,3,3
2026-07-04 04:00:00,52,42,156,140,3,3
2026-07-04 05:00:00,29,29,190,105,2,2
2026-07-04 06:00:00,33,30,120,79,2,2
2026-07-04 07:00:00,26,31,148,87,2,2
2026-07-04 08:00:00,20,21,90,45,2,1
2026-07-04 09:00:00,15,27,113,54,1,1
2026-07-04 10:00:00,16,29,126,72,1,1
2026-07-04 11:00:00,27,37,210,130,2,2
2026-07-04 12:00:00,41,44,263,148,2,2
2026-07-04 13:00:00,54,48,274,147,3,3
